Category,Subcategory,Name,Words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Creating value,Value proposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,Problem identification,real-world problems,grand challenges,world problems,renewable energy,climate change,disease,illness,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,Beneficiaries,client,customer,customer segments,end user,funding agencies,lawyers,people,professionals,society,stakeholders,users,target market,,,,,,,,,,,,,,,,,,,,
1,9,Types of Value,accesibility,benefit,convenience,economic,energy efficiency,environmental,fulfilment ,gains,growth,impact,improve,low cost,reliability,resource efficiency,social responsibility ,societal,societal benefit,societal change,sustainability ,used to help,,,,,,,,,,,,
2,2,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Education system,degree,degree progression,formal education,institution,pedagogy,Professors,student,student engagement,student retention,student value,university ,,,,,,,,,,,,,,,,,,,,,
2,11,Curricular,areas,classroom,course project,disciplines,EM project,engineering,fields,interdisciplinary,majors,multidisciplinary,science,subjects,,,,,,,,,,,,,,,,,,,,
2,12,Co-curricular,Extracurricular,clubs,co-op,internships,personal experience,research experience,research project,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Design Process,connections,decision making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,Planning,Strategy,act on opportunities,benchmarking,competition,constraints,current uses,customer needs,customer discovery,defining the problem,develop strategy,empathizing,gather information,goal setting,identifying needs,market analysis,needs assessment,opportunity recognition,planning ,project scope,system requirements,customer requirements,specifications,understanding a problem,user needs,market search,identifying market,opportunity,seek opportunities,Customer awareness,inspiration,,
3,14,Development,Implementation,brainstorming,building a platform,conceptual design,design characterization,design drawings,fabrication,form,function,ideas,ideation,ideating,implementation,iteration,modeling,product development,product,process,service,system,proof of concept,prototype,revision,sketching,stakeholder buy-in,user stories,thinking out of the box,,,,,
3,15,Evaluation,Assessment,assessment,compare,design reviews,evaluate,experiments,failure analysis,hazard analysis,make meaning,performance,risk analysis,systematic,testing,validate,,,,,,,,,,,,,,,,,,
3,16,Collaboration,communication,cooperation,discussion,feedback,meetings,networking,sharing information,team,team building exercises,teamwork,diversity,,,,,,,,,,,,,,,,,,,,,
4,4,Business,Company,Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,Channels,branding,customer support,distribution,market forces,marketing a product,supply chain,distribution system,distribution network,billboards,commercials,customer service,,,,,,,,,,,,,,,,,,,,,
4,18,Start-up,business plan,business positions,company investment,incubators,investment,investors,mission statement,partners,startup company,venture realization,,,,,,,,,,,,,,,,,,,,,,
4,19,Operations,accounting,administration,advertising,budget,competitor positions,economics,financial advising,legal,management,manufacturing,marketing,overhead costs,project management,revenue,revenue streams,sales,stores,making money,employer,retail,profit,,,,,,,,,,,
4,20,Resources,capital ,equipment,human resources,infrastructure,labor,materials,money,assets,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Innovation,Intellectual Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,Novel,New invention,invention,new application,new products,new research,new technology,niche,novel,patent,,,,,,,,,,,,,,,,,,,,,,,
5,22,Existing,Modify,adjust,existing product,making changes,modification,modified,new use for a product,replace,retain,,,,,,,,,,,,,,,,,,,,,,,
6,6,KSAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23,Knowledge & Skills,background concepts,background knowledge,conflict resolution,critical thinking,ethics,general knowledge,interpersonal skill,leadership skills,lifelong learning,listening skills,problem solving,professional skills,reflection,technical,technical knowledge,technical skills,technical writing,time management,understanding corporate culture,understanding organizational culture,visualization,,,,,,,,,,,
6,24,Attributes & Attitudes,agency,altruism,autonomy,beliefs,charisma,cognitive biases,comfort with risk,concentration,courage,creativity,curiosity,empathy,focus,humility,identity,initiative,integrity,interest,intuition,motivation,open mindedness,optimistic,passion,persistence,positivity,resourcefulness,responsibility,risk taker,team orientation,tolerance for ambiguity,tolerance for uncertainty,trustworthy
25,25,Other,action,assess,blind spots,breakdown barriers,classify,dream,failure,financial,generalizable,immunity to change,industry,intentions,leadership,learning,meeting needs ,observe,progression,self authorship,solving problems,tools,transferability,understanding,variety,design,,,,,,,,
